# Twitter source-file for markdown-conversion
# Comments have to start with a #-sign.
"2012-07-28 15:19","http://twitter.com/oslopolitiops/status/229340277926662145","Politiet har fått melding ...","Politiet har fått melding om en røykvarsler som går i Sannergata. Det lukter også litt røyk. Nødetatene er på vei til stedet "
"2012-07-28 15:35","http://twitter.com/oslopolitiops/status/229344306324992001","Årsaken til røyklukten i ...","Årsaken til røyklukten i Sannergaten var en meget godt stekt Grandiosa. "
"2012-07-23 03:44","http://twitter.com/oslopolitiops/status/227353428605689856","Et gammelt og brunt juletre ...","Et gammelt og brunt juletre lå i veibanen i Tåsentunnelen østgående retning. Dette er nå fjernet og vil bli kastet. "
"2012-07-21 12:25","http://twitter.com/oslopolitiops/status/226759719262486528","En noe tørst tyv var innom ...","En noe tørst tyv var innom utestedet Venner på Grønland og prøvde å ta med seg flere flasker Vodka. Lovens lange arm har kontroll på han "
"2012-07-18 11:05","http://twitter.com/oslopolitiops/status/225652592833863681","En mann løp fra patulje ved ...","En mann løp fra patulje ved Akerselva. Han hoppet i elva og svømte over til en annen ventende patrulje. Mistekt for narkotikakriminalitet. "
"2012-07-15 01:56","http://twitter.com/oslopolitiops/status/224427123329335296","Kjelsås: Politipatr forsøkte ...","Kjelsås: Politipatr forsøkte å bistå vaktmester med å fange en løs kanin. Den slapp unna. Vaktmester fortsetter 'jakten' videre. "
"2012-07-09 04:59","http://twitter.com/oslopolitiops/status/222298847379066880","Hesteeieren har nå meldt seg ...","Hesteeieren har nå meldt seg Hesten som heter Leonora skulle være på sommerbeite, men mulig golf var mer spennende Eier og hest gjennforenes "
"2012-07-09 04:45","http://twitter.com/oslopolitiops/status/222295328097964032","Her er bilder av ...","Her er bilder av ponnien http://bit.ly/NisJ9m "
"2012-07-09 03:54","http://twitter.com/oslopolitiops/status/222282680769851394","Ponnien står nå sammen med ...","Ponnien står nå sammen med politihestene på Akershus festning. "
"2012-07-09 03:57","http://twitter.com/oslopolitiops/status/222280883489611777","Når det gjelder ponnien så ...","Når det gjelder ponnien så har vi vært i kontakt med veterinær. Den er ikke chippet. Og vi etterlyser fremdeles en eier Ring 02800 "
